Accession	Domain	Start	Stop
NZ_LT556084.1_4455	Domain1	20	40
NZ_LT556085.1_2042	Domain1	20	40
NZ_CP010376.2_3715	Domain1	20	40
NZ_CP012162.1_3805	Domain1	20	40
NZ_CP020388.1_44	Domain1	20	40
NZ_CP021749.1_1884	Domain1	20	40
NZ_CP021851.1_465	Domain1	20	40
NZ_CP024676.1_2894	Domain1	20	40
NZ_CP031574.1_1543	Domain1	20	40
NZ_CP022389.1_950	Domain1	20	40
NZ_CP006003.1_7419	Domain1	20	40
NC_009719.1_1867	Domain1	20	40
NZ_CP014476.1_1733	Domain1	20	40
NZ_CP009631.1_2454	Domain1	20	40
NZ_CP020394.1_2835	Domain1	20	40
NC_010553.1_257	Domain1	20	40
NC_017856.1_2483	Domain1	20	40
NZ_CP016464.1_1123	Domain1	20	40
NZ_CP032923.1_43	Domain1	20	40
NZ_CP011971.1_543	Domain1	20	40
NZ_OFSX01000010.1_55	Domain1	20	40
NZ_CP040812.1_2606	Domain1	20	40
NZ_LS398110.1_1379	Domain1	20	40
NZ_CP022564.1_3623	Domain1	20	40
NZ_CP017477.1_585	Domain1	20	40
NZ_LR215974.1_2985	Domain1	20	40
NZ_CP011477.1_2859	Domain1	20	40
NC_015137.1_2334	Domain1	20	40
NZ_CP007238.1_8	Domain1	20	40
NZ_CP011073.1_993	Domain1	20	40
NZ_CP021512.1_254	Domain1	20	40
NZ_CP034661.1_2038	Domain1	20	40
NZ_CP030277.1_2420	Domain1	20	40
NC_012796.1_1476	Domain1	20	40
NZ_CP013572.1_13	Domain1	20	40
NZ_CP013578.1_13	Domain1	20	40
NZ_CP030762.1_253	Domain1	20	40
NZ_CP022372.1_2299	Domain1	20	40
NZ_CP033037.1_114	Domain1	20	40
NZ_CP019509.1_1490	Domain1	20	40
NZ_CP029232.1_1749	Domain1	20	40
NZ_CP021830.1_1229	Domain1	20	40
NZ_AP014564.1_999	Domain1	20	40
NZ_CP023968.1_3611	Domain1	20	40
NZ_CP033760.1_1079	Domain1	20	40
NZ_CP020925.1_2452	Domain1	20	40
NZ_CP021054.1_2559	Domain1	20	40
NC_014963.1_2926	Domain1	20	40
NZ_CP007440.1_7028	Domain1	20	40
NC_014313.1_671	Domain1	20	40
NZ_CP011494.1_2941	Domain1	20	40
NZ_CP007142.1_1032	Domain1	20	40
NC_019940.1_308	Domain1	20	40
NZ_LR134300.1_3609	Domain1	20	40
NZ_CP019420.1_4743	Domain1	20	40
NZ_CP029463.1_2250	Domain1	20	40
NZ_CP025432.1_210	Domain1	20	40
NC_007949.1_276	Domain1	20	40
NZ_CP036252.1_2073	Domain1	20	40
NZ_CP035376.1_35	Domain1	20	40
NZ_CP022755.1_2752	Domain1	20	40
NZ_CP015346.1_982	Domain1	20	40
NZ_CP025704.1_849	Domain1	20	40
NZ_CP006949.1_239	Domain1	20	40
NC_015276.1_664	Domain1	20	40
NZ_CP022786.1_1048	Domain1	20	40
NC_012917.1_3263	Domain1	20	40
NZ_CM001980.1_879	Domain1	20	40
NZ_LT976979.1_125	Domain1	20	40
NZ_LT976980.1_125	Domain1	20	40
NZ_LT976981.1_123	Domain1	20	40
NZ_LT976994.1_155	Domain1	20	40
NZ_LT977072.1_118	Domain1	20	40
NZ_OFTM01000053.1_3	Domain1	20	40
NZ_CP007440.1_5509	Domain1	20	40
NZ_CP025084.1_3905	Domain1	20	40
NZ_CP025085.1_3906	Domain1	20	40
NZ_CP014209.1_103	Domain1	20	40
NZ_LR134406.1_1744	Domain1	20	40
NZ_CP032738.1_771	Domain1	20	40
NC_013592.1_3235	Domain1	20	40
NC_015671.1_2145	Domain1	20	40
NZ_AP018498.1_395	Domain1	20	40
NZ_CP029760.1_1022	Domain1	20	40
NZ_CP031421.1_2808	Domain1	20	40
NZ_CP031422.1_3623	Domain1	20	40
NZ_CP025299.1_121	Domain1	20	40
NC_016620.1_767	Domain1	20	40
NZ_CP034336.1_3331	Domain1	20	40
NZ_CP031257.1_598	Domain1	20	40
NZ_CP019162.1_964	Domain1	20	40
CP022706.1_711	Domain1	20	40
NZ_CP034464.1_3925	Domain1	20	40
NZ_CP023657.1_1888	Domain1	20	40
NZ_CP030871.1_2106	Domain1	20	40
NZ_CP006871.1_3968	Domain1	20	40
NZ_CP026094.1_3644	Domain1	20	40
CP009516.1_2985	Domain1	20	40
NZ_CP024842.1_3173	Domain1	20	40
NZ_CP031166.1_89	Domain1	20	40
NZ_CP029983.1_3528	Domain1	20	40
NC_020453.1_3742	Domain1	20	40
CP007536.1_629	Domain1	20	40
NZ_CP031742.1_2874	Domain1	20	40
NZ_CP020917.1_1955	Domain1	20	40
NZ_CP012006.1_2501	Domain1	20	40
NZ_CP021342.1_2296	Domain1	20	40
NZ_CP040050.1_1061	Domain1	20	40
NZ_CP015407.2_13	Domain1	20	40
NZ_CP014209.1_329	Domain1	20	40
NZ_CP012670.1_1470	Domain1	20	40
NZ_CP029495.1_1201	Domain1	20	40
NC_021287.1_693	Domain1	20	40
NC_005085.1_2836	Domain1	20	40
NZ_CP017707.1_2511	Domain1	20	40
NZ_CP013102.1_1976	Domain1	20	40
NZ_CP026101.1_1730	Domain1	20	40
NZ_CP031263.1_5936	Domain1	20	40
NZ_AP018828.1_579	Domain1	20	40
NZ_CP022133.1_1550	Domain1	20	40
CP001868.2_892	Domain1	20	40
CP007551.1_902	Domain1	20	40
CP039139.1_1502	Domain1	20	40
NZ_CP018632.1_6035	Domain1	20	40
NZ_LR025743.1_2959	Domain1	20	40
NC_010718.1_1528	Domain1	20	40
NZ_CP031356.1_1912	Domain1	20	40
NZ_CP014158.1_2544	Domain1	20	40
NZ_CP039903.1_2102	Domain1	20	40
NC_021878.1_1142	Domain1	20	40
NC_007908.1_1354	Domain1	20	40
NC_018695.1_992	Domain1	20	40
NZ_CP025018.1_4895	Domain1	20	40
NZ_CP033144.1_952	Domain1	20	40
NZ_CP011018.1_373	Domain1	20	40
NC_019683.1_1515	Domain1	20	40
NZ_CP007399.1_947	Domain1	20	40
NZ_CP024941.1_157	Domain1	20	40
NZ_CP029187.1_2678	Domain1	20	40
NZ_CP029369.1_3746	Domain1	20	40
NZ_CP040695.1_3223	Domain1	20	40
NZ_CP029296.1_3746	Domain1	20	40
NZ_CP007029.1_1036	Domain1	20	40
NZ_LT629797.1_2597	Domain1	20	40
NC_002506.1_349	Domain1	20	40
NC_009456.1_848	Domain1	20	40
NC_012583.1_325	Domain1	20	40
NC_016945.1_340	Domain1	20	40
NZ_CM003112.1_298	Domain1	20	40
NZ_CP012997.1_800	Domain1	20	40
NZ_CP013013.1_801	Domain1	20	40
NZ_CP013302.1_378	Domain1	20	40
NZ_CP013304.1_353	Domain1	20	40
NZ_CP013306.1_373	Domain1	20	40
NZ_CP013308.1_349	Domain1	20	40
NZ_CP013310.1_492	Domain1	20	40
NZ_CP013312.1_700	Domain1	20	40
NZ_CP013314.1_377	Domain1	20	40
NZ_CP013316.1_183	Domain1	20	40
NZ_CP016325.1_350	Domain1	20	40
NZ_CP020407.2_733	Domain1	20	40
NZ_CP024163.1_337	Domain1	20	40
NZ_CP024868.1_337	Domain1	20	40
NZ_CP025937.1_337	Domain1	20	40
NZ_CP028828.1_346	Domain1	20	40
NZ_CP028895.1_339	Domain1	20	40
NZ_LT907990.1_340	Domain1	20	40
NZ_CP009761.1_994	Domain1	20	40
NZ_CP010019.1_1166	Domain1	20	40
NZ_CP023270.1_2033	Domain1	20	40
NZ_CP037427.1_3229	Domain1	20	40
NC_021237.1_2577	Domain1	20	40
NZ_LS999205.1_2578	Domain1	20	40
NZ_CP033141.1_3084	Domain1	20	40
NZ_CP033142.1_1521	Domain1	20	40
NZ_CP033143.1_56	Domain1	20	40
NZ_CP013184.1_2713	Domain1	20	40
NC_004129.6_2533	Domain1	20	40
NZ_CP022097.2_5468	Domain1	20	40
NZ_AP014522.1_2559	Domain1	20	40
NZ_CP014870.1_5485	Domain1	20	40
NZ_CP016784.1_2346	Domain1	20	40
NZ_CP007513.1_475	Domain1	20	40
NZ_CP031396.1_5672	Domain1	20	40
NZ_CP019985.1_1913	Domain1	20	40
NZ_CP027706.1_2347	Domain1	20	40
NZ_CP014019.1_1454	Domain1	20	40
NZ_CP036171.1_1838	Domain1	20	40
NZ_CP027705.1_2446	Domain1	20	40
NZ_CP014578.1_3541	Domain1	20	40
NZ_CP010405.1_853	Domain1	20	40
NZ_CP018100.1_791	Domain1	20	40
NZ_CP033134.1_1807	Domain1	20	40
NZ_CP026386.1_278	Domain1	20	40
NZ_CP024934.1_863	Domain1	20	40
NZ_CP018297.1_2114	Domain1	20	40
NZ_CM007620.1_7	Domain1	20	40
NZ_CP022053.2_38	Domain1	20	40
NZ_CP033586.1_1369	Domain1	20	40
NZ_CP033829.1_2457	Domain1	20	40
NZ_CP012048.1_4561	Domain1	20	40
NZ_CP012057.1_4560	Domain1	20	40
NZ_CP012060.1_4570	Domain1	20	40
NZ_CP012063.1_4560	Domain1	20	40
NZ_CP020964.1_3681	Domain1	20	40
NZ_CP020967.1_2288	Domain1	20	40
NZ_CP020975.1_2170	Domain1	20	40
NZ_CP025774.1_3490	Domain1	20	40
NZ_CM002866.1_3804	Domain1	20	40
NZ_CP018472.1_124	Domain1	20	40
NZ_CP018726.1_186	Domain1	20	40
NZ_CP018732.1_94	Domain1	20	40
NC_007492.2_3085	Domain1	20	40
NZ_CP018468.1_212	Domain1	20	40
NZ_CP029608.1_3203	Domain1	20	40
NZ_LR134472.1_1319	Domain1	20	40
NZ_CP031263.1_5938	Domain1	20	40
NZ_CP040441.1_348	Domain1	20	40
NZ_AFXJ01000001.1_2664	Domain1	20	40
NZ_AFXK01000001.1_2706	Domain1	20	40
NZ_CP014999.1_2878	Domain1	20	40
NZ_CP015001.1_2774	Domain1	20	40
NZ_CP015002.1_2899	Domain1	20	40
NZ_CP015003.1_3045	Domain1	20	40
NZ_CP021380.1_6419	Domain1	20	40
NZ_CP022002.1_4177	Domain1	20	40
NZ_CP028584.2_2957	Domain1	20	40
NZ_CP030911.1_2748	Domain1	20	40
NZ_CP030913.1_2746	Domain1	20	40
NZ_CP031677.1_1931	Domain1	20	40
NZ_CP040127.1_2689	Domain1	20	40
NC_016641.1_3746	Domain1	20	40
NZ_CP021645.1_1848	Domain1	20	40
NZ_CP027744.1_2277	Domain1	20	40
NZ_CP012410.1_553	Domain1	20	40
NZ_CP028826.1_3669	Domain1	20	40
NZ_CM007623.1_177	Domain1	20	40
NZ_CP018729.1_220	Domain1	20	40
NZ_CP018848.1_5	Domain1	20	40
NZ_CP018851.1_179	Domain1	20	40
NZ_CP018855.1_218	Domain1	20	40
NZ_CP018859.1_203	Domain1	20	40
NZ_CP023286.1_200	Domain1	20	40
NZ_CP013347.1_1287	Domain1	20	40
NZ_CP033048.1_3571	Domain1	20	40
NZ_AP014636.1_900	Domain1	20	40
NZ_CP019306.1_333	Domain1	20	40
NZ_CP024842.1_3598	Domain1	20	40
NC_010505.1_5273	Domain1	20	40
NC_018020.1_3459	Domain1	20	40
NC_015589.1_3643	Domain1	20	40
NZ_CP014137.1_264	Domain1	20	40
NZ_CP008856.2_3637	Domain1	20	40
NZ_CP011273.1_1357	Domain1	20	40
NZ_CP015225.1_6131	Domain1	20	40
NZ_CP040017.1_647	Domain1	20	40
NZ_CP034464.1_3935	Domain1	20	40
NC_015222.1_1526	Domain1	20	40
NC_016628.1_389	Domain1	20	40
NZ_CP021781.1_897	Domain1	20	40
NZ_CP019959.1_2866	Domain1	20	40
NZ_CP034425.1_3635	Domain1	20	40
NZ_AP018178.1_6859	Domain1	20	40
NZ_CP013232.1_1633	Domain1	20	40
NZ_LT629689.1_1373	Domain1	20	40
CP001687.1_237	Domain1	20	40
NZ_CP011409.1_3610	Domain1	20	40
NZ_CP036170.1_1481	Domain1	20	40
NZ_AP019702.1_3048	Domain1	20	40
NZ_CP008914.2_1884	Domain1	20	40
NZ_CP013360.1_2543	Domain1	20	40
NZ_CP029553.1_4391	Domain1	20	40
NZ_CP021434.1_4464	Domain1	20	40
NZ_CP033068.1_1021	Domain1	20	40
NC_010688.1_858	Domain1	20	40
NZ_CM002545.1_917	Domain1	20	40
NZ_CP025750.1_850	Domain1	20	40
NZ_CP014528.1_2340	Domain1	20	40
NZ_CP040056.1_2716	Domain1	20	40
NZ_CP040087.1_1022	Domain1	20	40
NZ_CP030007.1_1247	Domain1	20	40
NZ_CP007757.1_260	Domain1	20	40
NC_017531.2_1105	Domain1	20	40
NZ_LM995447.1_1163	Domain1	20	40
NZ_CP028924.1_1676	Domain1	20	40
NZ_CP017317.1_845	Domain1	20	40
NZ_CP017323.1_845	Domain1	20	40
NZ_CP017389.1_843	Domain1	20	40
NZ_OFTR01000001.1_139	Domain1	20	40
NC_015510.1_4011	Domain1	20	40
NC_020156.1_2989	Domain1	20	40
NZ_CP010122.1_1350	Domain1	20	40
NZ_CP010125.1_3373	Domain1	20	40
NC_015172.1_1276	Domain1	20	40
NZ_CP031704.1_4286	Domain1	20	40
NZ_CP022776.1_482	Domain1	20	40
NZ_CP022768.1_623	Domain1	20	40
NZ_CP022778.1_621	Domain1	20	40
NZ_CP029640.1_1740	Domain1	20	40
NZ_CP018770.2_3478	Domain1	20	40
NZ_CP039649.1_775	Domain1	20	40
NZ_LR590463.1_2490	Domain1	20	40
NZ_CP013415.1_165	Domain1	20	40
NZ_LN831776.1_1413	Domain1	20	40
NZ_AP014839.1_3994	Domain1	20	40
NZ_CP015877.1_3033	Domain1	20	40
NZ_CP039749.1_3520	Domain1	20	40
NZ_CP041013.1_2284	Domain1	20	40
NZ_LR590473.1_4652	Domain1	20	40
NZ_CP022203.1_1627	Domain1	20	40
NZ_CP038001.1_2150	Domain1	20	40
NZ_CP021749.1_509	Domain1	20	40
NZ_CP006872.1_3545	Domain1	20	40
NZ_CP009909.1_1041	Domain1	20	40
NZ_AP014855.1_774	Domain1	20	40
NC_016616.1_2107	Domain1	20	40
NC_007434.1_1728	Domain1	20	40
NZ_CM000832.1_1736	Domain1	20	40
NZ_CP008916.1_1502	Domain1	20	40
NZ_CP013653.1_1553	Domain1	20	40
NZ_CP028997.1_67	Domain1	20	40
NZ_CP031791.1_91	Domain1	20	40
NZ_CP040597.1_92	Domain1	20	40
NZ_CP035926.1_869	Domain1	20	40
NZ_CM000951.1_8525	Domain1	20	40
NZ_CP031969.1_8453	Domain1	20	40
NC_006347.1_3248	Domain1	20	40
NZ_CP017169.1_3589	Domain1	20	40
NZ_CP015364.1_1167	Domain1	20	40
NZ_LR590470.1_3594	Domain1	20	40
NZ_CP020448.2_1649	Domain1	20	40
NC_009922.1_1957	Domain1	20	40
NZ_CP017688.1_1910	Domain1	20	40
NZ_CP012475.1_2520	Domain1	20	40
NZ_CP016436.1_290	Domain1	20	40
NZ_CP029126.1_1118	Domain1	20	40
NZ_CP013743.1_9	Domain1	20	40
NC_015164.1_1677	Domain1	20	40
NZ_CM004384.1_295	Domain1	20	40
NZ_CP031474.1_46	Domain1	20	40
NC_014391.1_2583	Domain1	20	40
NZ_CP022665.1_3742	Domain1	20	40
NZ_CP034657.1_2492	Domain1	20	40
NZ_CP034657.1_4046	Domain1	20	40
NC_016109.1_2405	Domain1	20	40
NC_002947.4_3864	Domain1	20	40
NZ_LR134299.1_2152	Domain1	20	40
NZ_LT799039.1_2415	Domain1	20	40
NZ_CP011073.1_994	Domain1	20	40
NZ_AP018165.1_1767	Domain1	20	40
NZ_CP014692.1_600	Domain1	20	40
NZ_LR134356.1_5145	Domain1	20	40
NZ_CP011253.3_3259	Domain1	20	40
NC_022663.1_2108	Domain1	20	40
NZ_CP019883.1_3638	Domain1	20	40
NZ_CP019884.1_3719	Domain1	20	40
NZ_CP019885.1_3551	Domain1	20	40
NZ_CP019886.1_2074	Domain1	20	40
NZ_CP019887.1_2087	Domain1	20	40
NZ_CP019888.1_2197	Domain1	20	40
NZ_CP019655.1_468	Domain1	20	40
NZ_CP019659.1_468	Domain1	20	40
NZ_CP019794.1_3214	Domain1	20	40
NZ_CP020327.1_2695	Domain1	20	40
NZ_CP019651.1_4106	Domain1	20	40
NZ_CP019687.1_4006	Domain1	20	40
NZ_AP017900.1_1817	Domain1	20	40
NZ_CP017839.1_2559	Domain1	20	40
NZ_CP029760.1_1021	Domain1	20	40
NZ_CP031966.1_438	Domain1	20	40
NC_023134.1_417	Domain1	20	40
NZ_CP019652.1_419	Domain1	20	40
NZ_CP015775.1_899	Domain1	20	40
NZ_CP019856.1_969	Domain1	20	40
NC_009719.1_266	Domain1	20	40
NZ_LT934425.1_2812	Domain1	20	40
NZ_LT629709.1_863	Domain1	20	40
NZ_CP028369.1_8122	Domain1	20	40
NZ_CP022657.1_3316	Domain1	20	40
NZ_CP012602.1_3814	Domain1	20	40
NZ_LR590470.1_1083	Domain1	20	40
NZ_CP007637.1_4031	Domain1	20	40
NZ_CM003019.1_1544	Domain1	20	40
NZ_CP009478.1_2528	Domain1	20	40
NZ_CP009485.1_2129	Domain1	20	40
NZ_CP022221.1_1866	Domain1	20	40
NZ_CP040518.1_2807	Domain1	20	40
NC_015702.1_1680	Domain1	20	40
NZ_HG315671.1_1563	Domain1	20	40
NZ_CP027729.1_3515	Domain1	20	40
NZ_CP020740.1_128	Domain1	20	40
NZ_CP027723.1_4137	Domain1	20	40
NZ_LT629706.1_5326	Domain1	20	40
NZ_CP033929.1_1663	Domain1	20	40
NZ_CP025521.1_508	Domain1	20	40
NZ_LS999839.1_1676	Domain1	20	40
NC_010645.1_579	Domain1	20	40
NC_021658.1_9239	Domain1	20	40
NZ_CP013369.1_17	Domain1	20	40
NC_007912.1_1873	Domain1	20	40
NZ_CM003594.1_2179	Domain1	20	40
NZ_CP019121.1_1666	Domain1	20	40
NZ_CP015574.1_4043	Domain1	20	40
NZ_CP025094.1_3907	Domain1	20	40
NZ_CP034721.1_3818	Domain1	20	40
NZ_CP016374.1_3110	Domain1	20	40
NZ_CP022986.1_1470	Domain1	20	40
NZ_CP009982.1_1186	Domain1	20	40
NZ_CP013826.1_1189	Domain1	20	40
NZ_CP013400.1_1888	Domain1	20	40
NZ_CP017603.1_1027	Domain1	20	40
NZ_CP020559.1_4195	Domain1	20	40
NZ_CP004001.1_2832	Domain1	20	40
NZ_CP022219.1_3261	Domain1	20	40
NZ_CP011110.1_3742	Domain1	20	40
NZ_LR134144.1_3823	Domain1	20	40
NZ_CP010892.1_2423	Domain1	20	40
NZ_LN554846.1_1292	Domain1	20	40
NZ_CP018201.1_2973	Domain1	20	40
NC_017192.1_1158	Domain1	20	40
NZ_CP021434.1_2328	Domain1	20	40
NZ_CP017781.1_3151	Domain1	20	40
NZ_CP023465.1_4578	Domain1	20	40
NZ_CP010429.1_4826	Domain1	20	40
NZ_CP017770.1_2115	Domain1	20	40
CP006933.1_1568	Domain1	20	40
LN734822.1_738	Domain1	20	40
NZ_CP033048.1_3570	Domain1	20	40
NC_011979.1_3141	Domain1	20	40
NZ_CP027749.1_2253	Domain1	20	40
NZ_LT976862.1_3235	Domain1	20	40
NZ_LT976999.1_3299	Domain1	20	40
NZ_LT984803.1_3220	Domain1	20	40
NZ_CP027712.1_2369	Domain1	20	40
NZ_CP017890.1_859	Domain1	20	40
NZ_CP017897.1_838	Domain1	20	40
NZ_CP017900.1_874	Domain1	20	40
NZ_CP017908.1_837	Domain1	20	40
NZ_CP017912.1_837	Domain1	20	40
NZ_CP017914.1_837	Domain1	20	40
NZ_CP017918.1_1676	Domain1	20	40
NZ_CM001490.1_2501	Domain1	20	40
NZ_CP008696.1_2193	Domain1	20	40
NZ_CP025309.1_2254	Domain1	20	40
NZ_CP027719.1_2494	Domain1	20	40
NZ_CP027721.1_2349	Domain1	20	40
NZ_CP027722.1_2289	Domain1	20	40
NZ_CP027747.1_2338	Domain1	20	40
NZ_CP027748.1_2311	Domain1	20	40
NZ_CP027749.1_2418	Domain1	20	40
NZ_CP027750.1_2280	Domain1	20	40
NZ_CP027751.1_2338	Domain1	20	40
NZ_CP027752.1_2394	Domain1	20	40
NZ_CP007399.1_948	Domain1	20	40
NC_014168.1_921	Domain1	20	40
NZ_CP027720.1_2310	Domain1	20	40
NZ_LT629738.1_3357	Domain1	20	40
NZ_CM001559.1_2369	Domain1	20	40
NZ_CP015961.1_2605	Domain1	20	40
NZ_CM004383.1_922	Domain1	20	40
NZ_CP031473.1_1590	Domain1	20	40
NZ_AP019400.1_2992	Domain1	20	40
NZ_CP027716.1_2230	Domain1	20	40
NZ_AP018288.1_3222	Domain1	20	40
NZ_CP025197.1_1202	Domain1	20	40
NZ_CP025197.1_2997	Domain1	20	40
NZ_CP027744.1_2316	Domain1	20	40
NZ_CP025624.1_2540	Domain1	20	40
NZ_CP019839.1_1144	Domain1	20	40
NZ_CP022148.1_4567	Domain1	20	40
NZ_CP012672.1_6840	Domain1	20	40
NZ_LR215974.1_2986	Domain1	20	40
NC_010162.1_4958	Domain1	20	40
NC_011296.1_511	Domain1	20	40
NZ_CP018258.1_798	Domain1	20	40
NZ_CP032677.1_4745	Domain1	20	40
NZ_CP029760.1_1023	Domain1	20	40
NZ_CP031013.1_3641	Domain1	20	40
NZ_CP022999.1_378	Domain1	20	40
NZ_CP019066.1_58	Domain1	20	40
NZ_LN606600.1_2196	Domain1	20	40
NZ_CP012487.1_1123	Domain1	20	40
NZ_CP031466.1_3197	Domain1	20	40
NC_010334.1_1674	Domain1	20	40
NZ_FO082820.1_2189	Domain1	20	40
NZ_CP014673.1_2775	Domain1	20	40
NZ_CP025263.1_3424	Domain1	20	40
NZ_LN879430.1_731	Domain1	20	40
NC_021658.1_5982	Domain1	20	40
NZ_CP015371.1_2871	Domain1	20	40
NZ_CP014062.1_3410	Domain1	20	40
NZ_CP020822.1_1817	Domain1	20	40
NC_019393.1_1970	Domain1	20	40
NC_021713.1_1958	Domain1	20	40
NC_021714.1_363	Domain1	20	40
NZ_CP013928.1_1960	Domain1	20	40
NZ_CP039919.1_16	Domain1	20	40
NZ_CP007207.1_1319	Domain1	20	40
NC_018013.1_316	Domain1	20	40
NZ_CP041046.1_2453	Domain1	20	40
NZ_CP040812.1_2605	Domain1	20	40
NZ_LT977067.1_108	Domain1	20	40
NZ_CP023968.1_3612	Domain1	20	40
NZ_CP033760.1_1078	Domain1	20	40
NZ_CP026746.1_3000	Domain1	20	40
NC_021658.1_9339	Domain1	20	40
NZ_LN847264.1_3673	Domain1	20	40
NZ_LT976875.1_118	Domain1	20	40
NZ_LT976964.1_268	Domain1	20	40
NC_008254.1_1265	Domain1	20	40
NZ_CP020925.1_3059	Domain1	20	40
NZ_CP029335.1_1322	Domain1	20	40
NZ_CP029463.1_2249	Domain1	20	40
NZ_CP033917.1_2433	Domain1	20	40
NZ_CP022389.1_951	Domain1	20	40
NZ_AP014638.1_5118	Domain1	20	40
NZ_AP014642.1_5117	Domain1	20	40
NZ_AP018203.1_1211	Domain1	20	40
NZ_CP026003.1_3041	Domain1	20	40
NZ_CP015163.1_6150	Domain1	20	40
NZ_CP026113.1_1237	Domain1	20	40
NZ_CP003923.1_558	Domain1	20	40
NZ_AP018498.1_397	Domain1	20	40
